17.10.16	8,4	9,4	10,4		
18.10.16	8,3	9,3	10,3		
19.10.16	8,2	9,2	10,2		
20.10.16	8,1	9,1	10,1		
21.10.16	8	9	10		
22.10.16	7,9	8,9	9,9		
23.10.16	7,8	8,8	9,8		
24.10.16	7,7	8,7	9,7		
25.10.16	7,6	8,6	9,6		
26.10.16	7,5	8,5	9,5		
27.10.16	7,4	8,4	9,4		
28.10.16	7,3	8,3	9,3		
29.10.16	7,2	8,2	9,2		
30.10.16	7,10000000000001	8,10000000000001	9,10000000000001	10	
31.10.16	7,00000000000001	8,00000000000001	9,00000000000001		
01.11.16	6,90000000000001	7,90000000000001	8,90000000000001		
02.11.16	6,80000000000001	7,80000000000001	8,80000000000001		
03.11.16	6,70000000000001	7,70000000000001	8,70000000000001		
04.11.16	6,60000000000001	7,60000000000001	8,60000000000001	10,2	
05.11.16	6,50000000000001	7,50000000000001	8,50000000000001		
06.11.16	6,40000000000001	7,40000000000001	8,40000000000001		
07.11.16	6,30000000000001	7,30000000000001	8,30000000000001		
08.11.16	6,20000000000001	7,20000000000001	8,20000000000001		
09.11.16	6,10000000000001	7,10000000000001	8,10000000000001		
10.11.16	6,00000000000001	7,00000000000001	8,00000000000001	10,5	
11.11.16	5,90000000000001	6,90000000000001	7,90000000000001		
12.11.16	5,80000000000001	6,80000000000001	7,80000000000001		
13.11.16	5,70000000000001	6,70000000000001	7,70000000000001		
14.11.16	5,60000000000001	6,60000000000001	7,60000000000001		
15.11.16	5,50000000000001	6,50000000000001	7,50000000000001		
16.11.16	5,40000000000001	6,40000000000001	7,40000000000001		
17.11.16	5,30000000000001	6,30000000000001	7,30000000000001	10	20
